phase,dataset,scene,method,trial,seed,status,success,trajectory_coverage,ate_rmse_m,rpe_rmse_m,protocol_tag,git_sha,git_dirty,config_sha256,manifest_sha256,bag_sha256,gt_sha256,model_sha256
legacy_holdout,viode,city_night_3_high,adaptive_arbitration,1,1001,ok,1,0.9813833275289864,0.348819,0.037931,p35-holdout-citynight-970fcf0,970fcf041e20d2dd7b70e5349fd1a8fdd4359460,False,3f9dc9e786ab3f540d17db3a4cb78b029d47fdb2a544f2265e54dd87661cd516,8cb43ce506f130e42168b507aa39e1e4f2d178d0991dc2158118cdc349e521d3,c367ddb37e3b2df79cd6cb83b28e61e88c70fe75e8d717314b4b6b124c19ada9,3fae909e89b2f369e59e8e9a0ab91618df2dfc3d36ff7dbd22331a2382be67d5,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
legacy_holdout,viode,city_night_3_high,adaptive_arbitration,2,1002,ok,1,0.9813833275289864,0.349627,0.038006,p35-holdout-citynight-970fcf0,970fcf041e20d2dd7b70e5349fd1a8fdd4359460,False,aba9ec4e3f3c3f843699332bad36403c059115120d1c60d1f53a84ef5dc6a558,1e50f8a92fb6573fd45180c66630f1de64e8bded1e8c03c8e74cc58c72ab8491,c367ddb37e3b2df79cd6cb83b28e61e88c70fe75e8d717314b4b6b124c19ada9,3fae909e89b2f369e59e8e9a0ab91618df2dfc3d36ff7dbd22331a2382be67d5,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
legacy_holdout,viode,city_night_3_high,adaptive_arbitration,3,1003,ok,1,0.9813833275289864,0.349412,0.037963,p35-holdout-citynight-970fcf0,970fcf041e20d2dd7b70e5349fd1a8fdd4359460,False,7f73b385dbc69d1070a0fea9cb5eac95ca6a94d51e09e78c6769240b726b46f8,b2b9eb4f5adef6a50ddae7bdc6b2942106924b9d40bf8924bf19e90c9470d296,c367ddb37e3b2df79cd6cb83b28e61e88c70fe75e8d717314b4b6b124c19ada9,3fae909e89b2f369e59e8e9a0ab91618df2dfc3d36ff7dbd22331a2382be67d5,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
legacy_holdout,viode,city_night_3_high,adaptive_arbitration_v2,1,1001,ok,1,0.9813833275289864,0.332424,0.035263,p35-holdout-citynight-970fcf0,970fcf041e20d2dd7b70e5349fd1a8fdd4359460,False,16511b44861e629fe78347fe3daa6231be3f10d759af35a072cceb1df90b2d45,c8be8a146c9504a7e9fae593062f413e2993fdd19bb4edd7c93e32bf4ec746bc,c367ddb37e3b2df79cd6cb83b28e61e88c70fe75e8d717314b4b6b124c19ada9,3fae909e89b2f369e59e8e9a0ab91618df2dfc3d36ff7dbd22331a2382be67d5,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
legacy_holdout,viode,city_night_3_high,adaptive_arbitration_v2,2,1002,ok,1,0.9813833275289864,0.332872,0.035257,p35-holdout-citynight-970fcf0,970fcf041e20d2dd7b70e5349fd1a8fdd4359460,False,5b96cfe78fbf137a3da5ad9695d83c8422f3039826ea8cf5e1d54837e5859aaf,bcfef65f1002c9637df8097a3e4aeeaba5dc4bfd36fb93b58f4d3133aba65dcb,c367ddb37e3b2df79cd6cb83b28e61e88c70fe75e8d717314b4b6b124c19ada9,3fae909e89b2f369e59e8e9a0ab91618df2dfc3d36ff7dbd22331a2382be67d5,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
legacy_holdout,viode,city_night_3_high,adaptive_arbitration_v2,3,1003,ok,1,0.9813833275289864,0.333046,0.035419,p35-holdout-citynight-970fcf0,970fcf041e20d2dd7b70e5349fd1a8fdd4359460,False,1832bef9597783a929ded3006bd8c46edea293fcfbb71bd442b275cb60bb5990,153db7c461a0280e038bf5e32e5798dd4f9c004277e334dc423415e690ab4180,c367ddb37e3b2df79cd6cb83b28e61e88c70fe75e8d717314b4b6b124c19ada9,3fae909e89b2f369e59e8e9a0ab91618df2dfc3d36ff7dbd22331a2382be67d5,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
legacy_holdout,viode,city_night_3_high,union_weight,1,1001,ok,1,0.9813833275289864,0.34665,0.035197,p35-holdout-citynight-970fcf0,970fcf041e20d2dd7b70e5349fd1a8fdd4359460,False,a1c10f2761da43364eb5184542504fb48853852a80123d6d3f7c23ee5c102c20,966b011abed4fe5a970d316ca7c0ba21ff5a584d19c611c1f567f2192540d548,c367ddb37e3b2df79cd6cb83b28e61e88c70fe75e8d717314b4b6b124c19ada9,3fae909e89b2f369e59e8e9a0ab91618df2dfc3d36ff7dbd22331a2382be67d5,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
legacy_holdout,viode,city_night_3_high,union_weight,2,1002,ok,1,0.9813833275289864,0.346217,0.035185,p35-holdout-citynight-970fcf0,970fcf041e20d2dd7b70e5349fd1a8fdd4359460,False,d9e0cdceb417fa13c5d383c44c479c4e116159c9c2c4fb3a4ae67ecc66601c50,c00e9be3a1f2f3a9f0dd7eda3c0e956d0cf518266de9e361d082e49e73dd7e6a,c367ddb37e3b2df79cd6cb83b28e61e88c70fe75e8d717314b4b6b124c19ada9,3fae909e89b2f369e59e8e9a0ab91618df2dfc3d36ff7dbd22331a2382be67d5,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
legacy_holdout,viode,city_night_3_high,union_weight,3,1003,ok,1,0.9813833275289864,0.34672,0.035201,p35-holdout-citynight-970fcf0,970fcf041e20d2dd7b70e5349fd1a8fdd4359460,False,a2d25058b5e3add6f3c05d22569358ceb446466fdc0a02b936fe0373417dee5f,b7dab52a6c97c59b834462c76b11d739565f3edf5c2fd702b945218aed06b3c0,c367ddb37e3b2df79cd6cb83b28e61e88c70fe75e8d717314b4b6b124c19ada9,3fae909e89b2f369e59e8e9a0ab91618df2dfc3d36ff7dbd22331a2382be67d5,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,euroc,MH_03_medium,adaptive_arbitration,1,1001,ok,1,,0.259338,0.049822,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,4a362c838d4839f012f6988a1fc29a990bf21fa7f1a570b1fbce9947ec8b4734,5d378cbc4122aa0ce2c374a70b893d79115a33e150ed46467b67843e4d333d54,565fd3e1d90455c6fc11a25da4ddb425e4715bf4200aeb644440ed741061eaf4,589efd15d5287d061e2e42c057e573a546add79f2403f1173c10ba9e7e48eabb,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
