phase,dataset,scene,method,trial,status,manifest_sha256,config_sha256
legacy_holdout,viode,city_night_3_high,adaptive_arbitration,1,ok,8cb43ce506f130e42168b507aa39e1e4f2d178d0991dc2158118cdc349e521d3,3f9dc9e786ab3f540d17db3a4cb78b029d47fdb2a544f2265e54dd87661cd516
legacy_holdout,viode,city_night_3_high,adaptive_arbitration,2,ok,1e50f8a92fb6573fd45180c66630f1de64e8bded1e8c03c8e74cc58c72ab8491,aba9ec4e3f3c3f843699332bad36403c059115120d1c60d1f53a84ef5dc6a558
legacy_holdout,viode,city_night_3_high,adaptive_arbitration,3,ok,b2b9eb4f5adef6a50ddae7bdc6b2942106924b9d40bf8924bf19e90c9470d296,7f73b385dbc69d1070a0fea9cb5eac95ca6a94d51e09e78c6769240b726b46f8
legacy_holdout,viode,city_night_3_high,adaptive_arbitration_v2,1,ok,c8be8a146c9504a7e9fae593062f413e2993fdd19bb4edd7c93e32bf4ec746bc,16511b44861e629fe78347fe3daa6231be3f10d759af35a072cceb1df90b2d45
legacy_holdout,viode,city_night_3_high,adaptive_arbitration_v2,2,ok,bcfef65f1002c9637df8097a3e4aeeaba5dc4bfd36fb93b58f4d3133aba65dcb,5b96cfe78fbf137a3da5ad9695d83c8422f3039826ea8cf5e1d54837e5859aaf
legacy_holdout,viode,city_night_3_high,adaptive_arbitration_v2,3,ok,153db7c461a0280e038bf5e32e5798dd4f9c004277e334dc423415e690ab4180,1832bef9597783a929ded3006bd8c46edea293fcfbb71bd442b275cb60bb5990
legacy_holdout,viode,city_night_3_high,union_weight,1,ok,966b011abed4fe5a970d316ca7c0ba21ff5a584d19c611c1f567f2192540d548,a1c10f2761da43364eb5184542504fb48853852a80123d6d3f7c23ee5c102c20
legacy_holdout,viode,city_night_3_high,union_weight,2,ok,c00e9be3a1f2f3a9f0dd7eda3c0e956d0cf518266de9e361d082e49e73dd7e6a,d9e0cdceb417fa13c5d383c44c479c4e116159c9c2c4fb3a4ae67ecc66601c50
legacy_holdout,viode,city_night_3_high,union_weight,3,ok,b7dab52a6c97c59b834462c76b11d739565f3edf5c2fd702b945218aed06b3c0,a2d25058b5e3add6f3c05d22569358ceb446466fdc0a02b936fe0373417dee5f
stage_a_n1,euroc,MH_03_medium,adaptive_arbitration,1,ok,5d378cbc4122aa0ce2c374a70b893d79115a33e150ed46467b67843e4d333d54,4a362c838d4839f012f6988a1fc29a990bf21fa7f1a570b1fbce9947ec8b4734
stage_a_n1,euroc,MH_03_medium,adaptive_arbitration_v2,1,ok,bf915dd9275843e9d2632f73d955318620b6a8a8eaa097b1efc3e0c985053ec0,e507a5bf696b2e55d0624e925d24f80a45c3df7a02e07a9d18b6e8ccfc2ffaa0
stage_a_n1,euroc,MH_03_medium,adaptive_arbitration_v2_f0,1,ok,da5b659fc05962ace2d8ca6f21c816e67416006399ea2946544f3753252af723,c3efe3083cc68166fd2d03fb43063b6cc740b46035d62982126bb90db4d02a2c
stage_a_n1,euroc,MH_03_medium,adaptive_arbitration_v2_f2,1,ok,e3f4342dd138b705bc6d67280e7ba08b1364ce65f357dad67ecb46c69d8abe7b,f4f6d873a3f59afa4b1fcd837c43a76145acb42c04ae866a2521108ac950960c
stage_a_n1,euroc,MH_03_medium,adaptive_arbitration_v2_g1,1,ok,f937ffc1b1e305ae73e34de176e32ccdb9f02359ba799ef5946670e293273e61,2456e31df0ec78e64f25d675b866c640e2c75f3d9ee312588bf51436953427db
stage_a_n1,euroc,MH_03_medium,adaptive_arbitration_v2_g3,1,ok,e838d8cd8ab88c223a7066a8953abc27234d34b5148d9a5b769e6e1df3cb626f,09fbbc6b61dae82aedc5357d546ca61b4bbd2f10ce7072f112af74b562d88795
stage_a_n1,euroc,MH_03_medium,union_weight,1,ok,a21df55dde99195f131c6016e3e4fca05674a887e998d300fee7ad484015ecc9,fcfadc9eeaa93975b71006e0382fa17468fdeff9caa67eeb191fecc8c53ad641
stage_a_n1,euroc,MH_04_difficult,adaptive_arbitration,1,ok,cfab2290f3a1484778cbba4d142446877bda716e1829240b6669b9bc2a5f1e1b,6cf0781adfae6c4f8d74c5674217b9396dd8666ada1fac52c4395f7d53711775
